Nr     Name                         Prov.Desig     Taxon1   Ref  Taxon_al Refs
       2002 AH29                    2002 AH29      K        664  K        664    
       2002 AK14                    2002 AK14      V:       664  V:       664    
       2002 AL14                    2002 AL14      Sl       A45  Ld,Sl    664,A45    
       2002 AL31                    2002 AL31      X        666  X        666    
       2002 AQ2                     2002 AQ2       S        664  S        664    
       2002 AT4                     2002 AT4       D        666  D        666  
       2002 AU5                     2002 AU5       X        664  X        664    
       2002 AV                      2002 AV        S        E51  K;S      664,E51
       2002 BA1                     2002 BA1       S        664  S        664    
       2002 BM26                    2002 BM26      X        664  X        664    
       2002 BP26                    2002 BP26      X        664  X        664    
       2002 CS11                    2002 CS11      X:       664  X:       664    
       2002 CT46                    2002 CT46      Sr       664  Sr       664    
       2002 DH2                     2002 DH2       Ch       664  Ch       664    
       2002 DO3                     2002 DO3       X:       664  X:       664    
       2002 DQ3                     2002 DQ3       Sq       666  Sq       666    
       2002 DU3                     2002 DU3       Sq       666  Sq       666    
       2002 DY3                     2002 DY3       Xk       664  Xk       664    
       2002 EA                      2002 EA        L        664  L        664    
       2002 EC                      2002 EC        X:       664  X:       664   
       2002 GO5                     2002 GO5       Sq/Q     E51  Sq,Q     D81,E51
       2002 NP1                     2002 NP1       Q        B34  Q        B34
       2002 NX18                    2002 NX18      C        A45  C        A45
       2002 NY40                    2002 NY40      Q        E51  Q        843,E51
       2002 OS4                     2002 OS4       Sr       D81  Sr       D81
       2002 QH10                    2002 QH10      S/Sr     E51  S/Sr     E51  
       2002 RQ25                    2002 RQ25      C/X      D81  C/X      D81
       2002 TB9                     2002 TB9       Sk       A45  Sk       A45
       2002 TD60                    2002 TD60      S        A45  S        A45
       2002 TP69                    2002 TP69      Sk       A45  Sk       A45
       2002 TS67                    2002 TS67      Xe       A45  Xe       A45
       2002 UN                      2002 UN        B        A45  B        A45
       2002 VE68                    2002 VE68      X        A93  X        A93
       2002 VP69                    2002 VP69      Sq       A45  Sq       A45
       2002 VX17                    2002 VX17      S-       A45  S-       A45
       2002 XO14                    2002 XO14      S        996  S        996
       2002 YB12                    2002 YB12      Sq       A45  Sq       A45
