Number,Name,DynClass,u-v,u-g,u-r,u-i,u-z,v-g,v-r,v-i,v-z,g-r,g-i,i-z,g-z,r-i,r-z,complex,complex1,complex2,nc
25330,"        1999 KV4","         NEA>Apollo",,,,,,,,,,0.3301,,-0.1542,,,,U,"pU","pB",2
523803,"        1999 RV2","           NEA>Amor",,,,,,,,,,0.4556,,,,,,S,"  ","  ",5
152787,"       1999 TB10","           NEA>Amor",,,,,,,,,,0.4038,,,,,,S,"  ","  ",5
36183,"       1999 TX16","           NEA>Amor",,,,,,,,,,0.4194,0.4249,,,0.0055,,S,"  ","  ",5
337118,"        1999 TX2","         NEA>Apollo",,,,,,,,,,0.2369,,,,,,U,"  ","  ",5
413002,"       1999 VG22","           NEA>Amor",,,,,,,,,,0.5377,0.7201,-0.0934,0.6267,0.1824,0.089,S,"pU","pS",1
53435,"       1999 VM40","           NEA>Amor",,,,,,,,,,0.3342,0.7069,,,0.3721,,C,"  ","  ",5
171576,"       1999 VP11","         NEA>Apollo",,,,,,,,,,0.4023,0.9519,,,0.5496,,S,"  ","  ",5
474179,"        1999 VS6","         NEA>Apollo",,,,,,,,,,0.355,,,,,,S,"  ","  ",5
86324,"        1999 WA2","           NEA>Amor",,,,,,,,,,,,-0.1337,,0.2454,0.1163,A,"pA","pS",4
86326,"       1999 WK13","           NEA>Amor",,,,,,,,,,0.4225,,-0.0789,,,,S,"pS","pC",2
483422,"       2000 CE59","         NEA>Apollo",,,,,,,,,,0.7458,,,,,,U,"  ","  ",5
53789,"      2000 ED104","         NEA>Apollo",,,,,,,,,,,,-0.2525,,0.5273,0.2748,U,"pU","pC",4
185853,"       2000 ER70","           NEA>Amor",,,,,,,,,,0.4836,,,,,,S,"  ","  ",5
152942,"       2000 FN10","           NEA>Amor",,,,,,,,,,0.378,,-0.114,,,,S,"pU","pS",2
86667,"       2000 FO10","           NEA>Aten",,,,,,,,,,,,-0.3519,,0.1781,-0.1738,V,"pV","pU",4
152964,"       2000 GP82","         NEA>Apollo",,,,,,,,,,0.3799,1.0353,0.2127,1.248,0.6554,0.8681,U,"pU","pD",1
87024,"       2000 JS66","         NEA>Apollo",,,,,,,,,,0.2461,0.5952,-0.2435,0.3517,0.3491,0.1056,U,"pU","pV",1
87025,"       2000 JT66","         NEA>Apollo",,,,,,,,,,0.2219,0.5268,,,0.3049,,C,"  ","  ",5
18109,"       2000 NG11","           NEA>Amor",,,,,,,,,,0.2053,,-0.0102,,,,U,"pU","pB",2
401857,"        2000 PG3","         NEA>Apollo",,,,,,,,,,0.3459,,,,,,U,"  ","  ",5
162483,"        2000 PJ5","           NEA>Aten",,,,,,,,,,,,-0.1642,,0.4333,0.2691,U,"pU","pS",4
24445,"        2000 PM8","         NEA>Apollo",,,,,,,,,,0.3658,0.5803,-0.0533,0.527,0.2145,0.1612,U,"pU","pS",1
467317,"        2000 QW7","           NEA>Amor",,,,,,,,,,0.3785,0.6236,,,0.2451,,S,"  ","  ",5
162566,"       2000 RJ34","           NEA>Amor",,,,,,,,,,0.2748,0.4562,-0.0307,0.419,0.1797,0.1445,B,"pB","pU",1
162679,"        2000 TK1","         NEA>Apollo",,,,,,,,,,0.4755,,,,,,S,"  ","  ",5
20826,"       2000 UV13","         NEA>Apollo",,,,,,,,,,0.4149,,,,,,S,"  ","  ",5
434007,"       2000 VH61","           NEA>Amor",,,,,,,,,,0.205,0.5469,-0.0857,0.5762,0.3391,0.4047,U,"pU","pB",1
24475,"        2000 VN2","           NEA>Amor",,,,,,,,,,0.4177,,,,,,S,"  ","  ",5
106589,"      2000 WN107","         NEA>Apollo",,,,,,,,,,0.323,0.5251,-0.0364,0.4887,0.1717,0.1353,X,"pU","pX",1
88188,"       2000 XH44","           NEA>Amor",,,,,,,,,,0.2833,,,,,,C,"  ","  ",5
68063,"       2000 YJ66","           NEA>Amor",,,,,,,,,,0.3404,0.4883,,,0.1613,,C,"  ","  ",5
25916,"       2001 CP44","           NEA>Amor",,,,,,1.7052,2.0954,2.3275,2.2817,0.4429,0.6566,-0.0683,0.5926,0.2118,0.1574,S,"pS","pC",1
88254,"      2001 FM129","         NEA>Apollo",,,,,,,,,,0.2925,,,0.1057,,-0.1868,U,"  ","  ",5
159533,"       2001 HH31","           NEA>Amor",,,,,,,,,,0.3499,,,,,,U,"  ","  ",5
139345,"       2001 KA67","         NEA>Apollo",,,,,,,,,,,0.5064,0.1769,0.6833,,,U,"pU","pC",3
88263,"        2001 KQ1","           NEA>Amor",0.209,,,,,,,,,0.3288,0.4776,0.0362,0.5138,0.1425,0.1787,X,"pX","pU",1
99248,"       2001 KY66","         NEA>Apollo",,,,,,,,,,0.287,,-0.013,,,,B,"pB","pC",2
