Number,Name,DynClass,u-v,u-g,u-r,u-i,u-z,v-g,v-r,v-i,v-z,g-r,g-i,i-z,g-z,r-i,r-z,complex,complex1,complex2,nc
523667,"      2012 TM139","           NEA>Amor",,,,,,,,,,0.3142,0.5756,-0.0873,0.4883,0.2614,0.1741,U,"pU","pS",1
454177,"       2013 GJ35","           NEA>Amor",,,,,,,,,,0.4102,,,,,,S,"  ","  ",5
439437,"        2013 NK4","         NEA>Apollo",,,,,,,,,,0.5093,0.4672,,,-0.0421,,S,"  ","  ",5
,"       2013 WW44","         NEA>Apollo",,,,,,,,,,0.6633,,,,,,U,"  ","  ",5
,"       2014 FL33","         NEA>Apollo",,,,,,,,,,0.5061,,,,,,S,"  ","  ",5
495331,"       2014 KF91","           NEA>Amor",,,,,,,,,,1.0835,,,,,,U,"  ","  ",5
,"       2014 NA64","           NEA>Amor",,,,,,,,,,0.3879,0.5783,0.0542,0.6325,0.1904,0.2446,X,"pX","pU",1
492478,"       2014 NB39","         NEA>Apollo",,,,,,,,,,-0.1965,,,,,,U,"  ","  ",5
533722,"       2014 NE52","         NEA>Apollo",,,,,,,,,,0.4584,0.5234,-0.2207,0.3022,0.1089,-0.1183,V,"pU","pV",1
520585,"        2014 OA2","           NEA>Amor",,,,,,,,,,,,-0.1317,,0.1945,0.0628,S,"pS","pQ",4
,"       2014 PR62","           NEA>Amor",,,,,,1.6059,1.9509,2.0732,2.1224,0.3524,0.5504,-0.1253,0.4198,0.1973,0.056,U,"pU","pV",1
,"      2014 QK434","         NEA>Apollo",,,,,,,,,,-0.5145,,,,,,U,"  ","  ",5
511523,"      2014 QS439","           NEA>Amor",,,,,,,,,,0.6752,,,,,,U,"  ","  ",5
,"      2014 UA192","           NEA>Amor",,,,,,,,,,0.257,,,,,,C,"  ","  ",5
,"      2015 BE513","           NEA>Aten",,,,,,,,,,0.2535,,,,,,C,"  ","  ",5
,"      2015 DP155","           NEA>Amor",,,,,,,,,,0.4226,0.6279,-0.2085,0.4194,0.2053,-0.0032,S,"pU","pS",1
536531,"      2015 DV215","         NEA>Apollo",,,,,,,,,,0.3939,0.6297,-0.1953,0.414,0.2342,0.0486,S,"pS","pU",1
487583,"       2015 FJ36","         NEA>Apollo",,,,,,,,,,0.2435,0.3969,,,0.1534,,C,"  ","  ",5
,"       2015 GF27","           NEA>Amor",,,,,,,,,,0.6561,,,,,,U,"  ","  ",5
,"        2015 HF9","         NEA>Apollo",,,,,,,,,,0.2603,,,,,,S,"  ","  ",5
,"       2015 LB40","           NEA>Amor",,,,,,,,,,0.7474,,,,,,U,"  ","  ",5
,"         2015 OH","           NEA>Amor",,,,,,,,,,0.3576,,,,,,S,"  ","  ",5
,"       2015 OR78","           NEA>Amor",,,,,,,,,,0.4344,,,,,,S,"  ","  ",5
,"       2015 RB82","           NEA>Amor",,,,,,1.297,1.6051,1.659,,0.3081,0.362,,,0.0539,,C,"  ","  ",5
516154,"       2016 CL32","         NEA>Apollo",,,,,,,,,,0.3944,0.379,0.0741,0.4531,-0.0154,0.0587,U,"pU","pX",1
,"        2016 FT3","         NEA>Apollo",,,,,,,,,,-0.0294,,,,,,U,"  ","  ",5
,"         2016 NV","         NEA>Apollo",,,,,,,,,,0.6689,,,,,,U,"  ","  ",5
,"        2016 OZ2","         NEA>Apollo",,,,,,,,,,0.332,,,,,,S,"  ","  ",5
,"       2016 RW33","           NEA>Amor",,,,,,,,,,0.3827,0.6377,,,0.255,,S,"  ","  ",5
,"         2016 SD","         NEA>Apollo",,,,,,,,,,0.3721,0.6725,0.0088,0.6813,0.3004,0.3092,S,"pU","pS",1
,"        2016 VE2","           NEA>Amor",,,,,,,,,,0.3464,,,,,,S,"  ","  ",5
,"       2017 DC36","           NEA>Aten",,,,,,,,,,0.5102,,,,,,S,"  ","  ",5
,"       2017 HW48","           NEA>Amor",,,,,,,,,,0.3294,,,,,,U,"  ","  ",5
,"        2017 KO4","           NEA>Amor",,,,,,,,,,0.8028,,,,,,U,"  ","  ",5
,"       2017 QJ18","           NEA>Amor",,,,,,,,,,0.5942,1.1162,0.2684,1.3846,0.1259,0.3943,U,"pU","pD",1
,"       2017 QQ32","           NEA>Amor",,,,,,,,,,0.4353,,,,,,S,"  ","  ",5
,"       2017 SR32","           NEA>Amor",,,,,,,,,,0.364,,,,,,S,"  ","  ",5
,"       2017 SV20","         NEA>Apollo",,,,,,,,,,0.7487,,,,,,U,"  ","  ",5
,"        2017 TV4","         NEA>Apollo",,,,,,,,,,0.2348,,,,,,U,"  ","  ",5
,"        2017 UZ4","           NEA>Amor",,,,,,,,,,0.3214,0.7871,,,0.4671,,C,"  ","  ",5
,"       2017 VR12","         NEA>Apollo",,,,,,,,,,0.5988,1.1128,-0.3508,0.762,0.514,0.1632,U,"pU","pC",1
,"       2018 CZ13","           NEA>Amor",,,,,,,,,,0.327,,-0.3514,,,,U,"pU","pV",2
,"        2018 DX3","           NEA>Amor",,,,,,,,,,,,-0.1967,,0.1053,-0.4328,V,"pU","pV",4
,"        2018 EJ4","           NEA>Amor",,,,,,,,,,-0.0486,,,,,,U,"  ","  ",5
,"        2018 FE5","           NEA>Amor",,,,,,,,,,0.3611,,,,,,S,"  ","  ",5
,"        2018 FQ5","           NEA>Amor",,,,,,,,,,0.3835,0.6836,-0.0861,0.5975,0.3001,0.214,S,"pS","pU",1
,"        2018 JC3","           NEA>Amor",,,,,,,,,,0.3517,0.505,-0.0807,0.4243,0.1533,0.0726,U,"pU","pB",1
,"        2018 JQ1","           NEA>Amor",,,,,,,,,,0.1151,,,,,,C,"  ","  ",5
,"        2018 JS1","           NEA>Amor",,,,,,,,,,0.3518,,,,,,S,"  ","  ",5
,"        2018 KE3","           NEA>Amor",,,,,,,,,,0.4498,,,,,,S,"  ","  ",5
,"         2018 KV","         NEA>Apollo",,,,,,,,,,0.3141,,,,,,C,"  ","  ",5
,"         2018 NB","           NEA>Amor",,,,,,,,,,0.4349,0.6286,-0.1672,0.4614,0.109,-0.0582,S,"pS","pU",1
,"        2018 NM4","           NEA>Amor",,,,,,,,,,0.1282,,,,,,C,"  ","  ",5
,"         2018 NN","           NEA>Amor",,,,,,,,,,0.1843,0.3506,,,0.2653,,C,"  ","  ",5
,"        2018 NS1","           NEA>Amor",,,,,,,,,,0.2578,,,,,,C,"  ","  ",5
,"       2018 PX23","         NEA>Apollo",,,,,,,,,,0.1176,0.468,,,0.3504,,C,"  ","  ",5
,"        2018 RV5","           NEA>Amor",,,,,,,,,,0.1406,0.3918,,,0.2512,,C,"  ","  ",5
566540,"        2018 RW7","         NEA>Apollo",,,,,,,,,,0.5848,,,,,,S,"  ","  ",5
,"        2018 TO1","         NEA>Apollo",,,,,,,,,,0.3392,,,,,,U,"  ","  ",5
,"        2018 TT1","           NEA>Amor",,,,,,,,,,0.7858,,,,,,U,"  ","  ",5
,"        2019 BP1","         NEA>Apollo",,,,,,,,,,0.2999,,,,,,C,"  ","  ",5
,"        2019 CO4","         NEA>Apollo",,,,,,,,,,0.3324,,,,,,S,"  ","  ",5
,"        2019 LK5","           NEA>Amor",,,,,,,,,,0.475,,,,,,S,"  ","  ",5
567077,"        2019 LW1","           NEA>Amor",,,,,,,,,,0.4197,,,,,,S,"  ","  ",5
,"        2019 ME2","           NEA>Amor",,,,,,,,,,0.3486,,,,,,S,"  ","  ",5
,"        2019 NC1","           NEA>Aten",,,,,,,,,,0.4783,,-0.0468,,,,S,"pS","pU",2
,"        2019 NF2","           NEA>Amor",,,,,,,,,,0.6328,,,,,,U,"  ","  ",5
,"        2019 NP3","           NEA>Amor",,,,,,,,,,0.5029,,,,,,S,"  ","  ",5
,"        2019 NZ2","           NEA>Amor",,,,,,,,,,0.5775,,,,,,S,"  ","  ",5
,"        2019 OH1","           NEA>Aten",,,,,,,,,,0.2097,,,,,,C,"  ","  ",5
,"        2019 OV2","           NEA>Amor",,,,,,,,,,0.3181,,-0.1103,,,,B,"pU","pB",2
,"        2019 QL4","           NEA>Amor",,,,,,,,,,0.4015,,,,,,S,"  ","  ",5
,"         2019 RK","         NEA>Apollo",,,,,,,,,,0.412,,,,,,S,"  ","  ",5
,"        2019 RN4","           NEA>Amor",,,,,,,,,,0.1151,,,,,,C,"  ","  ",5
,"        2019 SH1","           NEA>Amor",,,,,,,,,,0.5591,,,,,,S,"  ","  ",5
719,"          Albert","           NEA>Amor",,,,,,,,,,0.4931,0.7029,-0.085,0.6221,0.2111,0.1292,S,"pS","pU",1
887,"          Alinda","           NEA>Amor",,,,,,,,,,0.3718,0.6672,,,0.298,,S,"  ","  ",5
3554,"            Amun","           NEA>Aten",,,,,,,,,,0.3419,0.6042,0.0027,0.6069,0.2623,0.265,X,"pU","pX",1
1943,"         Anteros","           NEA>Amor",,,,,,,,,,0.4367,0.6582,0.0464,0.7046,0.2215,0.2679,L,"pL","pU",1
2061,"            Anza","           NEA>Amor",,,,,,,,,,0.3459,0.5454,-0.1141,0.4313,0.1234,0.0093,U,"pU","pX",1
1862,"          Apollo","         NEA>Apollo",,,,,,,,,,0.1741,0.3041,-0.1299,0.1742,0.13,1.0E-4,U,"pU","pB",1
4581,"       Asclepius","         NEA>Apollo",,,,,,,,,,0.1655,,,,,,C,"  ","  ",5
11284,"         Belenus","           NEA>Amor",,,,,,,,,,0.5385,,,,,,S,"  ","  ",5
2368,"      Beltrovata","           NEA>Amor",,,,,,,,,,0.3739,,,,,,S,"  ","  ",5
1580,"         Betulia","           NEA>Amor",,,,,,,,,,0.1925,,,,,,C,"  ","  ",5
4957,"     Brucemurray","           NEA>Amor",,,,,,,,,,0.5191,0.8139,-0.0772,0.7611,0.2948,0.242,A,"pU","pA",1
3752,"         Camillo","         NEA>Apollo",,,,,,,,,,0.4026,,,,,,S,"  ","  ",5
21088,"     Chelyabinsk","           NEA>Amor",,,,,,,,,,0.4045,0.7436,-0.1004,0.7009,0.3391,0.2964,S,"pU","pS",1
4183,"            Cuno","         NEA>Apollo",,,,,,,,,,0.4243,0.4584,-0.0869,0.3627,0.0674,-0.0198,U,"pU","pC",1
1917,"            Cuyo","           NEA>Amor",,,,,,,,,,0.4071,,,,,,S,"  ","  ",5
3552,"     Don Quixote","           NEA>Amor",,,,,,,,,,0.4279,0.6952,0.0905,0.795,0.2673,0.3671,L,"pL","pD",1
4954,"            Eric","           NEA>Amor",,1.8356,2.3011,2.5226,2.4356,,,,,0.3786,0.6233,-0.0492,0.5716,0.2419,0.1843,S,"pU","pS",1
433,"            Eros","           NEA>Amor",,2.0887,2.5247,2.8258,2.7561,,,,,0.436,0.7371,-0.0697,0.6674,0.3011,0.2314,U,"pU","pS",1
3122,"        Florence","           NEA>Amor",,,,,,,,,,0.5009,0.633,-0.183,0.5692,0.1321,0.0683,S,"pS","pU",1
1036,"         Ganymed","           NEA>Amor",0.4661,1.9591,2.3369,2.5832,2.4872,1.5269,1.9068,2.1263,2.0585,0.3799,0.6243,-0.0778,0.5454,0.2187,0.1471,S,"pS","pU",1
6456,"        Golombek","           NEA>Amor",,,,,,,,,,0.4559,0.6338,-0.1052,0.526,0.1773,0.0746,S,"pS","pU",1
1566,"          Icarus","         NEA>Apollo",,,,,,,,,,0.3977,0.5241,-0.2497,0.2744,0.1264,-0.1233,V,"pV","pU",1
1627,"            Ivar","           NEA>Amor",0.6305,2.1514,2.5997,2.8397,2.7353,1.5209,1.9692,2.2092,2.1048,0.4483,0.6883,-0.1044,0.5839,0.24,0.1356,S,"pS","pC",1
4055,"        Magellan","           NEA>Amor",0.4923,2.0761,2.5108,2.665,2.2715,1.5869,2.0188,2.1758,1.7823,0.4672,0.5975,-0.3935,0.204,0.1616,-0.2319,V,"pV","pC",1
13553,"   Masaakikoyama","           NEA>Amor",,,,,,,,,,0.1552,0.5181,0.0449,0.563,0.1744,0.2193,U,"pU","pX",1
4947,"         Ninkasi","           NEA>Amor",,,,,,,,,,0.5441,0.655,,,0.1706,,S,"  ","  ",5
2201,"          Oljato","         NEA>Apollo",,,,,,,,,,0.5037,,-0.1152,,,,S,"pS","pU",2
6569,"        Ondaatje","           NEA>Amor",,,,,,,,,,0.3954,,-0.0395,,,,S,"pS","pK",2
5011,"            Ptah","         NEA>Apollo",,,,,,,,,,0.2677,,,,,,U,"  ","  ",5
2100,"       Ra-Shalom","           NEA>Aten",,,,,,,,,,0.3342,,,,,,C,"  ","  ",5
5381,"         Sekhmet","           NEA>Aten",,,,,,,,,,0.5453,,,,,,S,"  ","  ",5
3288,"        Seleucus","           NEA>Amor",,,,,,,,,,0.4331,0.5762,-0.1006,0.481,0.1537,0.0581,S,"pU","pS",1
5863,"            Tara","           NEA>Amor",,,,,,,,,,0.3686,0.606,-0.0767,0.5293,0.24,0.1633,U,"pU","pS",1
1685,"            Toro","         NEA>Apollo",,,,,,,,,,0.4291,0.5858,-0.1024,0.5311,0.2729,0.1684,U,"pU","pS",1
15745,"          Yuliya","           NEA>Amor",,,,,,,,,,0.4767,0.5454,-0.073,0.4724,0.089,0.016,V,"pU","pV",1
12923,"          Zephyr","         NEA>Apollo",,,,,,,,,,0.5032,,,,,,S,"  ","  ",5
