Number,Name,properH,DynClass,grcomplex
446862,"2001 VB76",,"NEA>Apollo",V
,"2013 TF6",,"NEA>Apollo",U
,"2013 BO76",,"NEA>Apollo",U
,"2007 DM41",,"NEA>Apollo",U
85182,"1991 AQ",,"NEA>Apollo",U
,"2011 YU62",,"NEA>Apollo",V
452334,"2001 LB",,"NEA>Apollo",C
434500,"2005 SB71",,"NEA>Apollo",V
,"2000 TL1",,"NEA>Apollo",U
434500,"2005 SB71",,"NEA>Apollo",V
,"2015 TY237",,"NEA>Apollo",V
170903,"2004 WS2",,"NEA>Apollo",U
161998,"1988 PA",,"NEA>Amor",S
503871,"2000 SL",,"NEA>Apollo",S
434500,"2005 SB71",,"NEA>Apollo",V
,"2005 AT42",,"NEA>Amor",V
236716,"2007 FV42",,"NEA>Amor",S
,"2006 GW2",,"NEA>Amor",S
161998,"1988 PA",,"NEA>Amor",S
376778,"2000 JY8",,"NEA>Amor",D
,"2009 SK104",,"NEA>Amor",C
185851,"2000 DP107",,"NEA>Apollo",U
,"2015 XW261",,"NEA>Apollo",U
171486,"1996 MO",,"NEA>Apollo",V
304293,"2006 SQ78",,"NEA>Apollo",V
205744,"2002 BK25",,"NEA>Apollo",D
,"2008 LQ16",,"NEA>Apollo",V
,"2013 QH10",,"NEA>Amor",U
523813,"2008 VB1",,"NEA>Apollo",V
,"2008 LQ16",,"NEA>Apollo",V
,"2002 WW17",,"NEA>Amor",B
488515,"2001 FE90",,"NEA>Apollo",S
450894,"2008 BT18",,"NEA>Apollo",V
,"2008 LQ16",,"NEA>Apollo",V
361689,"2007 VY7",,"NEA>Apollo",S
,"2010 VC72",,"NEA>Apollo",U
498068,"2007 RT146",,"NEA>Apollo",S
450894,"2008 BT18",,"NEA>Apollo",V
498918,"2009 BF",,"NEA>Amor",U
431776,"2008 JQ24",,"NEA>Amor",V
450894,"2008 BT18",,"NEA>Apollo",V
,"2007 US12",,"NEA>Aten",V
,"2012 ES14",,"NEA>Apollo",U
463360,"2012 TU",,"NEA>Amor",U
163692,"2003 CY18",,"NEA>Apollo",V
,"2010 WY8",,"NEA>Amor",S
,"2006 SH7",,"NEA>Amor",C
,"2005 UJ1",,"NEA>Amor",U
136849,"1998 CS1",,"NEA>Apollo",D
,"2010 WY8",,"NEA>Amor",S
1221,"Amor",,"NEA>Amor",D
,"2007 VT6",,"NEA>Apollo",X
,"2008 BT18",,"NEA>Apollo",V
136849,"1998 CS1",,"NEA>Apollo",D
1221,"Amor",,"NEA>Amor",D
,"2017 CH1",,"NEA>Apollo",U
,"Vinciguerra",,"NEA>Amor",D
136839,"1997 WT22",,"NEA>Amor",S
523813,"2008 VB1",,"NEA>Apollo",V
361689,"2007 VY7",,"NEA>Apollo",S
383610,"2007 JJ35",,"NEA>Amor",V
,"2009 BB",,"NEA>Apollo",V
,"2011 JW10",,"NEA>Amor",U
523813,"2008 VB1",,"NEA>Apollo",V
,"2001 FE90",,"NEA>Apollo",S
106589,"2000 WN107",,"NEA>Apollo",X
106589,"2000 WN107",,"NEA>Apollo",X
523806,"2002 WW17",,"NEA>Amor",B
361689,"2007 VY7",,"NEA>Apollo",S
,"2016 VS5",,"NEA>Apollo",B
481127,"2005 UJ6",,"NEA>Apollo",B
,"2017 DS35",,"NEA>Amor",V
523804,"2000 YF29",,"NEA>Apollo",U
415746,"2000 JN10",,"NEA>Amor",S
,"2002 RC118",,"NEA>Amor",B
31210,"1998 BX7",,"NEA>Amor",B
,"2014 UQ56",,"NEA>Apollo",V
468813,"2012 OT5",,"NEA>Amor",C
,"2002 RC118",,"NEA>Amor",B
212546,"2006 SV19",,"NEA>Amor",S
416217,"2002 VD118",,"NEA>Amor",U
,"2007 DT103",,"NEA>Apollo",U
498068,"2007 RT146",,"NEA>Apollo",S
523806,"2002 WW17",,"NEA>Amor",B
136849,"1998 CS1",,"NEA>Apollo",D
106589,"2000 WN107",,"NEA>Apollo",X
468813,"2012 OT5",,"NEA>Amor",C
383610,"2007 JJ35",,"NEA>Amor",V
106589,"2000 WN107",,"NEA>Apollo",X
,"2014 YP15",,"NEA>Apollo",U
,"2014 WF497",,"NEA>Apollo",U
361689,"2007 VY7",,"NEA>Apollo",S
106589,"2000 WN107",,"NEA>Apollo",X
415746,"2000 JN10",,"NEA>Amor",S
250162,"2002 TY57",,"NEA>Amor",S
212546,"2006 SV19",,"NEA>Amor",S
,"2005 UJ6",,"NEA>Apollo",B
498068,"2007 RT146",,"NEA>Apollo",S
,"2016 VH3",,"NEA>Apollo",S
,"2005 VE7",,"NEA>Apollo",S
,"2011 NZ",,"NEA>Amor",U
523813,"2008 VB1",,"NEA>Apollo",V
,"2000 NQ11",,"NEA>Amor",S
154278,"2002 TB9",,"NEA>Apollo",S
,"2013 HR11",,"NEA>Amor",D
374158,"2004 UL",,"NEA>Apollo",U
,"2000 QV7",,"NEA>Apollo",U
,"2009 BB",,"NEA>Apollo",V
,"2010 GA34",,"NEA>Amor",V
,"2015 DP155",,"NEA>Amor",U
415746,"2000 JN10",,"NEA>Amor",S
240320,"2003 HS42",,"NEA>Amor",V
212546,"2006 SV19",,"NEA>Amor",S
,"2013 HR11",,"NEA>Amor",D
,"2014 UQ56",,"NEA>Apollo",V
,"2006 SH7",,"NEA>Amor",C
96536,"1998 SO10",,"NEA>Apollo",V
498068,"2007 RT146",,"NEA>Apollo",S
1221,"Amor",,"NEA>Amor",D
250162,"2002 TY57",,"NEA>Amor",S
,"2010 DB34",,"NEA>Amor",V
,"2002 RO137",,"NEA>Amor",U
523806,"2002 WW17",,"NEA>Amor",B
106589,"2000 WN107",,"NEA>Apollo",X
,"2000 NQ11",,"NEA>Amor",S
96536,"1998 SO10",,"NEA>Apollo",V
,"2008 YX32",,"NEA>Apollo",V
212546,"2006 SV19",,"NEA>Amor",S
,"2013 HR11",,"NEA>Amor",D
1221,"Amor",,"NEA>Amor",D
523806,"2002 WW17",,"NEA>Amor",B
,"2014 QJ433",,"NEA>Apollo",V
,"2015 TY237",,"NEA>Apollo",V
236716,"2007 FV42",,"NEA>Amor",S
468813,"2012 OT5",,"NEA>Amor",C
1221,"Amor",,"NEA>Amor",D
,"2014 QX432",,"NEA>Apollo",C
,"2015 FM34",,"NEA>Apollo",U
523806,"2002 WW17",,"NEA>Amor",B
333755,"2010 VC1",,"NEA>Apollo",C
347634,"2001 SW269",,"NEA>Apollo",D
523813,"2008 VB1",,"NEA>Apollo",V
212546,"2006 SV19",,"NEA>Amor",S
456651,"2007 RT19",,"NEA>Amor",D
,"Amor",,"NEA>Amor",D
,"2014 LW21",,"NEA>Amor",V
409342,"2004 XM35",,"NEA>Amor",D
,"2006 SH7",,"NEA>Amor",C
333755,"2010 VC1",,"NEA>Apollo",C
,"2008 VB1",,"NEA>Apollo",V
479345,"2013 WY67",,"NEA>Apollo",V
,"2011 UX192",,"NEA>Apollo",B
,"2008 VB1",,"NEA>Apollo",V
,"2005 UJ6",,"NEA>Apollo",B
194268,"2001 UY4",,"NEA>Apollo",B
,"2000 NQ11",,"NEA>Amor",S
,"2013 HR11",,"NEA>Amor",D
501878,"2014 WF365",,"NEA>Apollo",C
,"2006 DT14",,"NEA>Apollo",U
,"2006 TU7",,"NEA>Aten",S
326683,"2002 WP",,"NEA>Amor",U
498068,"2007 RT146",,"NEA>Apollo",S
,"2006 TU7",,"NEA>Aten",S
,"2011 LA19",,"NEA>Apollo",U
,"2006 TU7",,"NEA>Aten",S
456651,"2007 RT19",,"NEA>Amor",D
,"2015 TY237",,"NEA>Apollo",V
354030,"2001 RB18",,"NEA>Amor",B
,"2000 NQ11",,"NEA>Amor",S
523806,"2002 WW17",,"NEA>Amor",B
212546,"2006 SV19",,"NEA>Amor",S
,"2014 LW21",,"NEA>Amor",V
501878,"2014 WF365",,"NEA>Apollo",C
236716,"2007 FV42",,"NEA>Amor",S
,"2000 NQ11",,"NEA>Amor",S
,"2014 QX432",,"NEA>Apollo",C
,"2013 FK",,"NEA>Apollo",U
481127,"2005 UJ6",,"NEA>Apollo",B
96536,"1998 SO10",,"NEA>Apollo",V
,"2012 FB57",,"NEA>Amor",V
,"2000 NQ11",,"NEA>Amor",S
,"2014 QX432",,"NEA>Apollo",C
236716,"2007 FV42",,"NEA>Amor",S
96536,"1998 SO10",,"NEA>Apollo",V
53319,"1999 JM8",,"NEA>Apollo",X
,"2016 CS29",,"NEA>Apollo",C
,"2008 YX32",,"NEA>Apollo",V
415746,"2000 JN10",,"NEA>Amor",S
53319,"1999 JM8",,"NEA>Apollo",X
,"2007 DZ40",,"NEA>Apollo",V
,"2000 NQ11",,"NEA>Amor",S
,"2013 HR11",,"NEA>Amor",D
,"2005 SX4",,"NEA>Amor",S
136839,"1997 WT22",,"NEA>Amor",S
,"2001 SJ262",,"NEA>Amor",C
,"2018 XR",,"NEA>Apollo",V
,"2009 XE11",,"NEA>Amor",V
,"2009 QO5",,"NEA>Amor",C
,"2014 QX432",,"NEA>Apollo",C
405189,"2003 BO1",,"NEA>Amor",V
,"2000 NQ11",,"NEA>Amor",S
136839,"1997 WT22",,"NEA>Amor",S
415746,"2000 JN10",,"NEA>Amor",S
212546,"2006 SV19",,"NEA>Amor",S
,"2015 HV171",,"NEA>Amor",V
,"2016 PF8",,"NEA>Apollo",D
,"2004 TU11",,"NEA>Amor",C
,"2013 HR11",,"NEA>Amor",D
,"1998 KH9",,"NEA>Amor",D
415746,"2000 JN10",,"NEA>Amor",S
136839,"1997 WT22",,"NEA>Amor",S
,"2013 HR11",,"NEA>Amor",D
481127,"2005 UJ6",,"NEA>Apollo",B
525231,"2004 VB",,"NEA>Apollo",S
,"2016 BP15",,"NEA>Amor",V
,"2007 BS2",,"NEA>Amor",U
523806,"2002 WW17",,"NEA>Amor",B
479345,"2013 WY67",,"NEA>Apollo",V
,"2007 RU12",,"NEA>Amor",S
,"1999 LD30",,"NEA>Amor",U
,"2016 VH3",,"NEA>Apollo",S
,"2000 LF6",,"NEA>Amor",V
,"2011 WP46",,"NEA>Amor",B
,"2012 VN82",,"NEA>Apollo",U
5587,"1990 SB",,"NEA>Amor",S
,"2007 RU12",,"NEA>Amor",S
,"2005 UT64",,"NEA>Apollo",C
,"1998 KH9",,"NEA>Amor",D
523806,"2002 WW17",,"NEA>Amor",B
326742,"2003 QN47",,"NEA>Amor",S
,"2005 UT64",,"NEA>Apollo",C
350513,"2000 BG19",,"NEA>Amor",U
,"2018 XR",,"NEA>Apollo",V
26760,"2001 KP41",,"NEA>Amor",X
26760,"2001 KP41",,"NEA>Amor",X
26760,"2001 KP41",,"NEA>Amor",X
,"2013 HR11",,"NEA>Amor",D
441823,"2009 QO5",,"NEA>Amor",C
520585,"2014 OA2",,"NEA>Amor",V
,"2009 BB",,"NEA>Apollo",V
,"2008 YX32",,"NEA>Apollo",V
,"2013 LE16",,"NEA>Apollo",U
212546,"2006 SV19",,"NEA>Amor",S
137064,"1998 WP5",,"NEA>Amor",S
,"2004 MD",,"NEA>Apollo",U
357058,"2001 OG25",,"NEA>Amor",U
236716,"2007 FV42",,"NEA>Amor",S
137064,"1998 WP5",,"NEA>Amor",S
,"2005 YW93",,"NEA>Amor",U
719,"Albert",,"NEA>Amor",X
,"2019 FM",,"NEA>Amor",U
523806,"2002 WW17",,"NEA>Amor",B
137064,"1998 WP5",,"NEA>Amor",S
212546,"2006 SV19",,"NEA>Amor",S
5587,"1990 SB",,"NEA>Amor",S
,"2012 NP",,"NEA>Amor",S
,"2000 DV110",,"NEA>Amor",U
,"2007 DZ40",,"NEA>Apollo",V
,"2012 NP",,"NEA>Amor",S
,"2013 HR11",,"NEA>Amor",D
,"2006 SH7",,"NEA>Amor",C
,"2012 NP",,"NEA>Amor",S
520585,"2014 OA2",,"NEA>Amor",V
,"2014 DJ23",,"NEA>Apollo",V
,"2012 NP",,"NEA>Amor",S
,"2004 QG20",,"NEA>Amor",S
162273,"1999 VL12",,"NEA>Amor",S
,"2008 AG33",,"NEA>Apollo",D
479345,"2013 WY67",,"NEA>Apollo",V
511777,"2015 EZ",,"NEA>Apollo",V
523806,"2002 WW17",,"NEA>Amor",B
,"2012 NP",,"NEA>Amor",S
212546,"2006 SV19",,"NEA>Amor",S
10115,"1992 SK",,"NEA>Apollo",S
5587,"1990 SB",,"NEA>Amor",S
205744,"2002 BK25",,"NEA>Apollo",D
466508,"2014 GY48",,"NEA>Apollo",D
10115,"1992 SK",,"NEA>Apollo",S
236716,"2007 FV42",,"NEA>Amor",S
5587,"1990 SB",,"NEA>Amor",S
212546,"2006 SV19",,"NEA>Amor",S
255501,"2006 BG",,"NEA>Apollo",C
481127,"2005 UJ6",,"NEA>Apollo",B
,"2006 SH7",,"NEA>Amor",C
53429,"1999 TF5",,"NEA>Apollo",C
5587,"1990 SB",,"NEA>Amor",S
489337,"2006 UM",,"NEA>Amor",D
,"2016 BP15",,"NEA>Amor",V
236716,"2007 FV42",,"NEA>Amor",S
333755,"2010 VC1",,"NEA>Apollo",C
,"2005 CV38",,"NEA>Amor",D
523806,"2002 WW17",,"NEA>Amor",B
,"2003 UO25",,"NEA>Apollo",V
417264,"2006 AT2",,"NEA>Amor",U
466508,"2014 GY48",,"NEA>Apollo",D
,"2012 HS15",,"NEA>Amor",U
333755,"2010 VC1",,"NEA>Apollo",C
,"1999 TF5",,"NEA>Apollo",C
380981,"2006 SU131",,"NEA>Amor",U
523806,"2002 WW17",,"NEA>Amor",B
,"1999 TF5",,"NEA>Apollo",C
194268,"2001 UY4",,"NEA>Apollo",B
479345,"2013 WY67",,"NEA>Apollo",V
65803,"Didymos",,"NEA>Apollo",C
,"2012 NP",,"NEA>Amor",S
361123,"2006 GW2",,"NEA>Amor",S
,"2012 VK76",,"NEA>Apollo",V
361123,"2006 GW2",,"NEA>Amor",S
161998,"1988 PA",,"NEA>Amor",S
212546,"2006 SV19",,"NEA>Amor",S
508967,"2004 VC17",,"NEA>Apollo",V
275558,"1999 RH33",,"NEA>Amor",S
275558,"1999 RH33",,"NEA>Amor",S
479345,"2013 WY67",,"NEA>Apollo",V
523802,"1998 KH9",,"NEA>Amor",D
138847,"2000 VE62",,"NEA>Amor",S
,"2012 VK76",,"NEA>Apollo",V
,"2017 DS35",,"NEA>Amor",V
,"2006 SH7",,"NEA>Amor",C
14402,"1991 DB",,"NEA>Amor",V
253106,"2002 UR3",,"NEA>Apollo",B
479345,"2013 WY67",,"NEA>Apollo",V
212546,"2006 SV19",,"NEA>Amor",S
14402,"1991 DB",,"NEA>Amor",V
,"1998 KH9",,"NEA>Amor",D
470975,"2009 SC15",,"NEA>Amor",V
14402,"1991 DB",,"NEA>Amor",V
212546,"2006 SV19",,"NEA>Amor",S
479345,"2013 WY67",,"NEA>Apollo",V
236716,"2007 FV42",,"NEA>Amor",S
138847,"2000 VE62",,"NEA>Amor",S
345853,"2007 PU11",,"NEA>Amor",S
399774,"2005 NB7",,"NEA>Apollo",V
,"2018 XR",,"NEA>Apollo",V
,"1998 KH9",,"NEA>Amor",D
161995,"1983 LB",,"NEA>Amor",D
399774,"2005 NB7",,"NEA>Apollo",V
,"2006 UN216",,"NEA>Amor",U
225416,"1999 YC",,"NEA>Apollo",C
285990,"2001 SK9",,"NEA>Apollo",C
345853,"2007 PU11",,"NEA>Amor",S
,"2018 XR",,"NEA>Apollo",V
,"2019 AZ13",,"NEA>Amor",V
333889,"1998 SV4",,"NEA>Aten",C
,"2006 SV19",,"NEA>Amor",S
528804,"2009 BJ58",,"NEA>Apollo",U
513182,"2005 CV38",,"NEA>Amor",D
,"2007 AH12",,"NEA>Amor",V
479345,"2013 WY67",,"NEA>Apollo",V
,"2005 LZ42",,"NEA>Amor",C
,"2007 AH12",,"NEA>Amor",V
,"2008 YX32",,"NEA>Apollo",V
252373,"2001 SA270",,"NEA>Apollo",V
,"2000 NQ11",,"NEA>Amor",S
,"2019 WM4",,"NEA>Apollo",U
,"2005 RK3",,"NEA>Apollo",C
,"2000 NQ11",,"NEA>Amor",S
225416,"1999 YC",,"NEA>Apollo",C
,"2000 NQ11",,"NEA>Amor",S
,"2000 NQ11",,"NEA>Amor",S
441823,"2009 QO5",,"NEA>Amor",C
,"2004 XO29",,"NEA>Apollo",V
481127,"2005 UJ6",,"NEA>Apollo",B
,"2000 NQ11",,"NEA>Amor",S
252373,"2001 SA270",,"NEA>Apollo",V
,"2000 NQ11",,"NEA>Amor",S
523802,"1998 KH9",,"NEA>Amor",D
5587,"1990 SB",,"NEA>Amor",S
,"2000 NQ11",,"NEA>Amor",S
,"2013 WY67",,"NEA>Apollo",V
523802,"1998 KH9",,"NEA>Amor",D
481127,"2005 UJ6",,"NEA>Apollo",B
,"2006 SP198",,"NEA>Amor",B
225416,"1999 YC",,"NEA>Apollo",C
,"1998 KH9",,"NEA>Amor",D
,"2006 SP198",,"NEA>Amor",B
225416,"1999 YC",,"NEA>Apollo",C
,"2006 HB",,"NEA>Amor",U
,"2011 ED78",,"NEA>Amor",U
523802,"1998 KH9",,"NEA>Amor",D
276392,"2002 XH4",,"NEA>Amor",S
455956,"2005 VE",,"NEA>Apollo",S
489337,"2006 UM",,"NEA>Amor",D
,"2011 YU62",,"NEA>Apollo",V
,"2011 YU62",,"NEA>Apollo",V
479345,"2013 WY67",,"NEA>Apollo",V
,"2008 YX32",,"NEA>Apollo",V
,"2011 YU62",,"NEA>Apollo",V
489337,"2006 UM",,"NEA>Amor",D
,"1995 SA",,"NEA>Apollo",V
,"2011 YU62",,"NEA>Apollo",V
,"2006 SH7",,"NEA>Amor",C
162215,"1999 TL12",,"NEA>Apollo",S
,"2005 NB7",,"NEA>Apollo",V
,"2011 YU62",,"NEA>Apollo",V
,"2005 LZ42",,"NEA>Amor",C
414429,"2009 DC43",,"NEA>Apollo",U
,"2007 VC191",,"NEA>Amor",V
189700,"2001 TA45",,"NEA>Amor",S
,"2008 YX32",,"NEA>Apollo",V
,"1998 KH9",,"NEA>Amor",D
,"2011 YU62",,"NEA>Apollo",V
,"2014 PT59",,"NEA>Amor",V
,"2011 YU62",,"NEA>Apollo",V
,"2013 MD8",,"NEA>Apollo",U
329291,"2000 JB6",,"NEA>Amor",D
202435,"2005 XH8",,"NEA>Apollo",V
,"2014 PT59",,"NEA>Amor",V
,"2009 WC52",,"NEA>Amor",U
329291,"2000 JB6",,"NEA>Amor",D
,"2014 PT59",,"NEA>Amor",V
,"2018 BN3",,"NEA>Amor",S
225416,"1999 YC",,"NEA>Apollo",C
,"2007 VC191",,"NEA>Amor",V
88264,"2001 KN20",,"NEA>Amor",S
,"2004 XO29",,"NEA>Apollo",V
,"2018 BN3",,"NEA>Amor",S
,"2011 YU62",,"NEA>Apollo",V
,"2008 YX32",,"NEA>Apollo",V
88264,"2001 KN20",,"NEA>Amor",S
225416,"1999 YC",,"NEA>Apollo",C
,"2006 OV5",,"NEA>Amor",D
417949,"2007 TB23",,"NEA>Apollo",S
162215,"1999 TL12",,"NEA>Apollo",S
225416,"1999 YC",,"NEA>Apollo",C
,"2005 RO33",,"NEA>Amor",S
524475,"2002 KJ4",,"NEA>Apollo",U
,"2007 VC191",,"NEA>Amor",V
,"2012 SW20",,"NEA>Apollo",V
417949,"2007 TB23",,"NEA>Apollo",S
,"2006 OV5",,"NEA>Amor",D
,"2005 RO33",,"NEA>Amor",S
,"2018 CZ2",,"NEA>Apollo",U
,"2014 PT59",,"NEA>Amor",V
479345,"2013 WY67",,"NEA>Apollo",V
303933,"2005 VQ",,"NEA>Apollo",V
479345,"2013 WY67",,"NEA>Apollo",V
,"Kadlu",,"NEA>Amor",U
,"2013 WY67",,"NEA>Apollo",V
479345,"2013 WY67",,"NEA>Apollo",V
,"2006 SH7",,"NEA>Amor",C
415710,"1998 WC2",,"NEA>Amor",S
,"2019 QD1",,"NEA>Apollo",U
,"2012 JB16",,"NEA>Amor",U
,"2010 BB3",,"NEA>Amor",U
,"2014 CJ14",,"NEA>Amor",C
,"2014 CJ14",,"NEA>Amor",C
480854,"2001 AO2",,"NEA>Amor",U
,"2009 CC3",,"NEA>Apollo",V
225416,"1999 YC",,"NEA>Apollo",C
,"2014 PT59",,"NEA>Amor",V
,"2009 OC",,"NEA>Amor",S
,"2005 RO33",,"NEA>Amor",S
,"2011 WO41",,"NEA>Apollo",U
,"2005 YP55",,"NEA>Amor",S
249816,"2001 FD90",,"NEA>Amor",V
256004,"2006 UP",,"NEA>Amor",S
225416,"1999 YC",,"NEA>Apollo",C
,"Dryope",,"NEA>Apollo",U
,"2014 LA27",,"NEA>Amor",S
,"2007 EF88",,"NEA>Amor",U
88264,"2001 KN20",,"NEA>Amor",S
285567,"2000 OM",,"NEA>Apollo",D
,"2011 SD173",,"NEA>Apollo",U
136773,"1996 TR6",,"NEA>Amor",U
276786,"2004 KD1",,"NEA>Amor",B
,"2014 AA33",,"NEA>Apollo",U
482344,"2011 WL15",,"NEA>Apollo",U
,"2008 BP16",,"NEA>Aten",U
,"2009 CT",,"NEA>Apollo",U
,"2008 EC69",,"NEA>Amor",V
,"2004 MP3",,"NEA>Amor",V
,"2004 MP3",,"NEA>Amor",V
38091,"1999 JT3",,"NEA>Amor",C
,"2017 AV3",,"NEA>Apollo",U
484517,"2008 EC69",,"NEA>Amor",V
136849,"1998 CS1",,"NEA>Apollo",D
162694,"2000 UH11",,"NEA>Aten",U
,"2017 MU7",,"NEA>Amor",U
530151,"2011 AW55",,"NEA>Apollo",S
5587,"1990 SB",,"NEA>Amor",S
5587,"1990 SB",,"NEA>Amor",S
,"2016 PM8",,"NEA>Amor",V
5587,"1990 SB",,"NEA>Amor",S
138859,"2000 WN63",,"NEA>Apollo",U
5587,"1990 SB",,"NEA>Amor",S
38091,"1999 JT3",,"NEA>Amor",C
,"2006 QS89",,"NEA>Amor",S
1580,"Betulia",,"NEA>Amor",B
,"2006 WP127",,"NEA>Apollo",C
,"2009 HD21",,"NEA>Apollo",U
435159,"2007 LQ19",,"NEA>Apollo",S
418900,"2009 BE2",,"NEA>Apollo",U
523636,"2010 EX119",,"NEA>Apollo",U
90373,"2003 SZ219",,"NEA>Amor",S
537342,"2015 KN120",,"NEA>Apollo",U
3838,"Epona",,"NEA>Apollo",C
,"2019 VF6",,"NEA>Apollo",V
,"2006 UB64",,"NEA>Apollo",D
,"2012 VZ36",,"NEA>Amor",U
385423,"2003 DE6",,"NEA>Amor",U
,"2014 QC433",,"NEA>Amor",U
,"2001 QM163",,"NEA>Apollo",U
,"2005 RC",,"NEA>Apollo",X
438429,"2006 WN1",,"NEA>Amor",C
,"Anteros",,"NEA>Amor",U
431107,"2006 GU",,"NEA>Amor",S
5587,"1990 SB",,"NEA>Amor",S
481532,"2007 LE",,"NEA>Apollo",U
,"2006 GU",,"NEA>Amor",S
309728,"2008 JF",,"NEA>Amor",V
,"2014 JN57",,"NEA>Amor",U
,"2009 QO",,"NEA>Amor",U
422638,"1994 CB",,"NEA>Apollo",U
,"2006 XH1",,"NEA>Amor",U
448972,"2011 YV15",,"NEA>Amor",U
142561,"2002 TX68",,"NEA>Amor",V
,"2018 BL3",,"NEA>Amor",U
425713,"2011 BK24",,"NEA>Amor",U
482488,"2012 SW20",,"NEA>Apollo",V
,"2014 XX31",,"NEA>Apollo",U
,"2003 WL25",,"NEA>Apollo",V
,"2006 XF2",,"NEA>Amor",U
177255,"2003 WC25",,"NEA>Amor",S
,"2003 TK2",,"NEA>Apollo",U
177255,"2003 WC25",,"NEA>Amor",S
137799,"1999 YB",,"NEA>Amor",U
,"2002 GD11",,"NEA>Amor",U
,"2001 NE13",,"NEA>Amor",U
5828,"1991 AM",,"NEA>Apollo",X
96315,"1997 AP10",,"NEA>Apollo",C
,"2002 RS129",,"NEA>Apollo",S
474179,"1999 VS6",,"NEA>Apollo",D
,"2011 AM12",,"NEA>Apollo",U
5324,"Lyapunov",,"NEA>Amor",V
,"2007 WB",,"NEA>Apollo",D
,"2004 QQ",,"NEA>Apollo",C
175114,"2004 QQ",,"NEA>Apollo",C
510190,"2011 CX7",,"NEA>Apollo",V
,"2011 BN24",,"NEA>Apollo",U
13651,"1997 BR",,"NEA>Apollo",S
11066,"Sigurd",,"NEA>Apollo",S
5324,"Lyapunov",,"NEA>Amor",V
162183,"1999 NB5",,"NEA>Apollo",V
,"2012 DH61",,"NEA>Amor",U
5646,"1990 TR",,"NEA>Amor",V
11066,"Sigurd",,"NEA>Apollo",S
,"2002 CX58",,"NEA>Apollo",U
318050,"2004 FC32",,"NEA>Amor",V
,"2004 EW9",,"NEA>Apollo",C
,"2015 FZ344",,"NEA>Amor",V
,"2002 UO",,"NEA>Apollo",V
,"2015 FZ344",,"NEA>Amor",V
7335,"1989 JA",,"NEA>Apollo",U
138883,"2000 YL29",,"NEA>Apollo",S
34613,"2000 UR13",,"NEA>Amor",S
,"2012 OE1",,"NEA>Amor",U
,"2015 TH323",,"NEA>Amor",V
,"2013 CW32",,"NEA>Aten",U
,"2017 KO4",,"NEA>Amor",U
4183,"Cuno",,"NEA>Apollo",S
,"2007 LA15",,"NEA>Amor",V
,"2010 KH",,"NEA>Amor",V
26760,"2001 KP41",,"NEA>Amor",X
,"2014 PT59",,"NEA>Amor",V
137802,"1999 YT",,"NEA>Amor",S
,"2000 JO78",,"NEA>Amor",V
31346,"1998 PB1",,"NEA>Amor",A
538648,"2016 FS6",,"NEA>Apollo",U
,"2003 AY2",,"NEA>Apollo",U
,"2019 KC4",,"NEA>Amor",U
,"2008 CC175",,"NEA>Aten",C
,"2011 PO1",,"NEA>Apollo",U
467527,"2007 LA15",,"NEA>Amor",V
467527,"2007 LA15",,"NEA>Amor",V
141053,"2001 XT1",,"NEA>Apollo",S
,"2013 YB48",,"NEA>Amor",D
31346,"1998 PB1",,"NEA>Amor",A
,"2001 UW17",,"NEA>Amor",D
525477,"2005 FC3",,"NEA>Apollo",V
,"2005 TR45",,"NEA>Amor",U
3271,"Ul",,"NEA>Amor",U
9856,"1991 EE",,"NEA>Apollo",V
9856,"1991 EE",,"NEA>Apollo",V
68548,"2001 XR31",,"NEA>Apollo",V
,"2003 YW1",,"NEA>Amor",V
9856,"1991 EE",,"NEA>Apollo",V
,"2016 NY15",,"NEA>Amor",U
,"2004 HC2",,"NEA>Apollo",U
507355,"2011 VV5",,"NEA>Apollo",U
,"Pygmalion",,"NEA>Amor",B
,"2001 UW17",,"NEA>Amor",D
456973,"2008 BS2",,"NEA>Apollo",D
,"2001 TA2",,"NEA>Apollo",U
,"2006 JU41",,"NEA>Amor",U
,"2011 BY59",,"NEA>Amor",U
,"2018 KF3",,"NEA>Amor",C
,"2016 EX27",,"NEA>Apollo",V
,"2009 CR4",,"NEA>Amor",U
,"2009 HV77",,"NEA>Amor",U
,"2014 TG17",,"NEA>Amor",S
,"2007 WU3",,"NEA>Apollo",U
,"2001 VJ5",,"NEA>Apollo",U
236716,"2007 FV42",,"NEA>Amor",S
534676,"2014 VK2",,"NEA>Apollo",U
,"2006 PB1",,"NEA>Amor",V
96189,"Pygmalion",,"NEA>Amor",B
,"1998 YW5",,"NEA>Apollo",V
,"Ondaatje",,"NEA>Amor",C
8507,"1991 CB1",,"NEA>Apollo",V
,"Ondaatje",,"NEA>Amor",C
,"2009 RM",,"NEA>Amor",U
,"2014 LN14",,"NEA>Amor",U
141053,"2001 XT1",,"NEA>Apollo",S
141053,"2001 XT1",,"NEA>Apollo",S
374855,"2006 VQ13",,"NEA>Apollo",V
442605,"2012 HY33",,"NEA>Apollo",B
,"Golombek",,"NEA>Amor",S
,"2017 XJ61",,"NEA>Apollo",U
,"2013 SL30",,"NEA>Amor",U
6456,"Golombek",,"NEA>Amor",S
,"2014 RZ11",,"NEA>Amor",U
172678,"2003 YM137",,"NEA>Apollo",X
138013,"2000 CN101",,"NEA>Apollo",S
6456,"Golombek",,"NEA>Amor",S
